aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,상아아파트,1981,,,,"153,000",28,1,2015,,,147.74,4,19-4,N,,11680,,삼성동
,"현대14차(203,204,205,206동)",1987,,,,"143,000",22,1,2015,,,84.98,5,447,N,,11680,,압구정동
,한솔마을,1994,,,,"83,200",27,1,2015,,,84.73,1,731,N,,11680,,일원동
,타워팰리스2,2003,,,,"182,000",26,1,2015,,,144.63,29,467-17,N,,11680,,도곡동
,상지리츠빌5B,2001,,,,"130,000",26,1,2015,,,152.85,4,127-37,N,,11680,,청담동
,주공2,1982,,,,"118,000",13,1,2015,,,80.15,1,140,N,,11680,,개포동
,우성8,1987,,,,"70,000",29,1,2015,,,79.61,3,179,N,,11680,,개포동
,삼익,1992,,,,"47,200",31,1,2015,,,49.2,10,708,N,,11680,,수서동
,현대힐스테이트2단지,2008,,,,"107,000",27,1,2015,,,84.236,6,50,N,,11680,,삼성동
,상지리츠빌카일룸(65-4),2012,,,,"360,934",30,1,2015,,,237.74,3,65-4,N,,11680,,삼성동
,성원대치2단지아파트,1992,,,,"32,800",16,2,2015,,,33.18,1,12,N,,11680,,개포동
,한솔마을,1994,,,,"90,000",28,2,2015,,,84.73,3,731,N,,11680,,일원동
,도곡렉슬,2006,,,,"74,000",16,2,2015,,,59.9772,6,527,N,,11680,,도곡동
,아카데미스위트1,2004,,,,"102,000",16,2,2015,,,122.07,10,467-7,N,,11680,,도곡동
,한신오페라하우스,2003,,,,"101,500",7,2,2015,,,134.91,5,35-47,N,,11680,,청담동
,역삼동월드메르디앙,2005,,,,"64,000",28,2,2015,,,81.76,11,795-41,N,,11680,,역삼동
,삼성동힐스테이트 1단지,2008,,,,"153,000",12,2,2015,,,114.039,15,16-2,N,,11680,,삼성동
,역삼동골든베리힐,2004,,,,"55,000",23,2,2015,,,127.7,2,667-1,N,,11680,,역삼동
,타워팰리스1,2002,,,,"144,000",14,2,2015,,,121.42,31,467,N,,11680,,도곡동
,리갈팰리스,2007,,,,"113,700",28,2,2015,,,184.63,4,626,N,,11680,,신사동
,아크로힐스논현,2014,,,,"107,500",2,3,2015,,,84.208,18,276-1,N,,11680,,논현동
,삼성청담공원아파트,1999,,,,"90,000",24,3,2015,,,107.22,13,60,N,,11680,,청담동
,두산위브2단지,2004,,,,"71,000",18,3,2015,,,84.721,8,258,N,,11680,,논현동
,도곡렉슬,2006,,,,"74,000",20,3,2015,,,59.9772,20,527,N,,11680,,도곡동
,강남데시앙파크,2011,,,,"60,000",30,3,2015,,,84.95,4,525,N,,11680,,세곡동
,대치삼성,2000,,,,"114,500",30,3,2015,,,97.35,19,1014-3,N,,11680,,대치동
,롯데캐슬프레미어,2007,,,,"155,000",11,3,2015,,,121.931,9,11,N,,11680,,삼성동
,"현대1차(12,13,21,22,31,32,33동)",1976,,,,"210,000",22,3,2015,,,161.19,10,369-1,N,,11680,,압구정동
,프리우스역삼101동,2006,,,,"53,000",30,3,2015,,,82.48,3,636-33,N,,11680,,역삼동
,대림아크로빌,1999,,,,"140,000",19,3,2015,,,172.464,22,467-6,N,,11680,,도곡동
,상지리츠빌카일룸3차,2009,,,,"459,000",16,4,2015,,,254.96,7,129-16,N,,11680,,청담동
,도곡렉슬,2006,,,,"82,000",28,4,2015,,,59.9818,4,527,N,,11680,,도곡동
,아카데미스위트1,2004,,,,"107,800",24,4,2015,,,122.07,13,467-7,N,,11680,,도곡동
,롯데캐슬프레미어,2007,,,,"145,500",21,4,2015,,,121.931,13,11,N,,11680,,삼성동
,한솔마을,1994,,,,"89,000",15,4,2015,,,84.73,5,731,N,,11680,,일원동
,풍림아이원1차103동(910-5),2003,,,,"66,500",15,4,2015,,,84.69,6,910-5,N,,11680,,대치동
,대치아이파크,2008,,,,"118,000",22,4,2015,,,84.95,14,888,N,,11680,,대치동
,삼성래미안,2001,,,,"100,000",24,4,2015,,,84.89,21,91-5,N,,11680,,도곡동
,청담신원아침도시마인,2013,,,,"27,000",24,4,2015,,,27.7131,6,122-35,N,,11680,,청담동
,개포주공1단지,1982,,,,"95,000",30,4,2015,,,56.57,1,141,N,,11680,,개포동
,현대오티움,1998,,,,"171,000",28,5,2015,,,214.58,10,192-2,N,,11680,,도곡동
,상지리츠빌카일룸3차,2009,,,,"380,000",29,5,2015,,,196.42,10,129-16,N,,11680,,청담동
,개포주공5단지,1983,,,,"89,000",30,5,2015,,,74.25,9,187,N,,11680,,개포동
,진흥아파트,1984,,,,"178,000",11,5,2015,,,180.67,5,65,N,,11680,,청담동
,선경1차(1동-7동),1983,,,,"175,000",29,5,2015,,,136.68,14,506,N,,11680,,대치동
,럭키(963),1995,,,,"108,000",29,5,2015,,,124.66,8,963,N,,11680,,도곡동
,신현대11차,1983,,,,"218,000",22,5,2015,,,171.43,1,433,N,,11680,,압구정동
,미성2차,1987,,,,"104,400",7,5,2015,,,74.4,4,397,N,,11680,,압구정동
,한보미도맨션1,1983,,,,"119,000",21,5,2015,,,84.48,7,511,N,,11680,,대치동
,은마,1979,,,,"89,500",25,5,2015,,,76.79,2,316,N,,11680,,대치동
,"현대6차(78~81,83,84,86,87동)",1978,,,,"197,500",12,6,2015,,,144.2,14,456,N,,11680,,압구정동
,역삼래미안,2005,,,,"103,000",22,6,2015,,,80.87,3,757,N,,11680,,역삼동
,삼성래미안,2001,,,,"74,500",25,6,2015,,,59.96,6,91-5,N,,11680,,도곡동
,청담건영,1994,,,,"90,000",4,6,2015,,,84.595,16,108,N,,11680,,청담동
,한양1차(영동한양),1977,,,,"109,000",19,6,2015,,,63.87,8,490,N,,11680,,압구정동
