aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,신공덕래미안2차,2000,,,,"47,400",30,1,2015,,,84.73,17,159,N,,11440,,신공덕동
,성산시영(유원),1986,,,,"44,200",31,1,2015,,,59.43,7,446,N,,11440,,성산동
,광남벨라스2차,2005,,,,"60,000",15,1,2015,,,136.14,2,458-22,N,,11440,,서교동
,서서울삼성,1998,,,,"45,500",26,1,2015,,,84.89,16,692,N,,11440,,아현동
,래미안공덕4차,2005,,,,"59,900",26,1,2015,,,83.42,4,464,N,,11440,,공덕동
,상암월드컵파크2단지,2003,,,,"47,100",31,1,2015,,,59.92,6,1637,N,,11440,,상암동
,창전동현대홈타운,2005,,,,"52,000",27,1,2015,,,84.978,16,440,N,,11440,,창전동
,서강예가,2007,,,,"60,000",25,1,2015,,,84.988,10,444,N,,11440,,창전동
,상암월드컵파크5단지,2005,,,,"65,500",30,1,2015,,,84.75,6,1658,N,,11440,,상암동
,신촌삼익,1997,,,,"46,500",31,1,2015,,,84.85,13,450,N,,11440,,신수동
,삼성,1997,,,,"55,000",28,2,2015,,,84.985,2,550,N,,11440,,도화동
,해모로,2007,,,,"60,000",25,2,2015,,,83.871,20,443,N,,11440,,창전동
,대흥동태영아파트,1999,,,,"62,500",12,2,2015,,,114.93,18,660,N,,11440,,대흥동
,성산시영(유원),1986,,,,"39,750",25,2,2015,,,59.43,1,446,N,,11440,,성산동
,마포자이2차,2014,,,,"69,500",7,2,2015,,,84.95,24,804,N,,11440,,대흥동
,해모로,2007,,,,"60,000",7,2,2015,,,83.85,20,443,N,,11440,,창전동
,영화블렌하임,2009,,,,"50,200",28,2,2015,,,107.33,4,517,N,,11440,,망원동
,마포아크로타워,2007,,,,"54,000",28,2,2015,,,84.99,19,563,N,,11440,,도화동
,성산시영(선경),1986,,,,"37,000",28,2,2015,,,50.54,3,446,N,,11440,,성산동
,마포자이2차,2014,,,,"74,500",28,2,2015,,,84.95,23,804,N,,11440,,대흥동
,롯데캐슬프레지던트,2009,,,,"136,000",19,3,2015,,,191.872,26,467,N,,11440,,공덕동
,래미안마포리버웰,2015,,,,"78,200",2,3,2015,,,84.97,20,502,N,,11440,,용강동
,래미안마포리버웰,2015,,,,"93,000",12,3,2015,,,114.66,14,502,N,,11440,,용강동
,신공덕래미안2차,2000,,,,"33,700",20,3,2015,,,59.48,1,159,N,,11440,,신공덕동
,창전동현대홈타운,2005,,,,"50,700",27,3,2015,,,84.978,2,440,N,,11440,,창전동
,래미안공덕4차,2005,,,,"62,000",17,3,2015,,,83.42,14,464,N,,11440,,공덕동
,마포래미안푸르지오3단지,2014,,,,"71,000",1,3,2015,,,84.8919,19,777,N,,11440,,아현동
,도화동현대,1996,,,,"41,500",20,3,2015,,,79.83,12,357,N,,11440,,도화동
,마포래미안푸르지오4단지,2014,,,,"74,000",26,3,2015,,,84.5978,13,777,N,,11440,,아현동
,도화현대,1998,,,,"34,000",31,3,2015,,,59.4,2,547,N,,11440,,도화동
,상록,1997,,,,"29,000",30,4,2015,,,58.71,8,515-1,N,,11440,,염리동
,신촌태영데시앙,2003,,,,"54,000",25,4,2015,,,84.97,5,439,N,,11440,,창전동
,현대홈타운,2000,,,,"50,000",25,4,2015,,,113.25,8,353,N,,11440,,도화동
,도화동현대,1996,,,,"59,500",27,4,2015,,,147.37,2,357,N,,11440,,도화동
,마포트라팰리스2차,2008,,,,"57,500",7,4,2015,,,104.89,17,738,N,,11440,,아현동
,래미안마포리버웰,2015,,,,"93,000",4,4,2015,,,114.97,14,502,N,,11440,,용강동
,공덕아이파크,2013,,,,"78,000",18,4,2015,,,114.97,14,174,N,,11440,,신공덕동
,벽산솔렌스힐,2007,,,,"50,300",29,4,2015,,,84.9619,5,457,N,,11440,,신수동
,공덕3삼성래미안,2004,,,,"67,000",6,4,2015,,,84.98,16,457,N,,11440,,공덕동
,마포자이2차,2014,,,,"86,700",11,4,2015,,,118.56,12,804,N,,11440,,대흥동
,대원칸타빌,2004,,,,"49,800",5,5,2015,,,84.96,2,453,N,,11440,,신수동
,메세나폴리스,2012,,,,"120,952",22,5,2015,,,122.867,18,490,N,,11440,,서교동
,마포경남아너스빌,2007,,,,"54,000",28,5,2015,,,84.95,10,456,N,,11440,,신수동
,한강밤섬자이,2010,,,,"73,500",13,5,2015,,,84.99,8,101,N,,11440,,하중동
,울트라월드컵(참누리),2006,,,,"54,300",29,5,2015,,,84.9406,7,398,N,,11440,,중동
,래미안마포리버웰,2015,,,,"77,000",3,5,2015,,,84.99,17,502,N,,11440,,용강동
,DMC마포청구아파트,1994,,,,"42,500",9,5,2015,,,84.9,9,390,N,,11440,,중동
,세양청마루,2003,,,,"58,500",27,5,2015,,,111.88,13,451,N,,11440,,신수동
,강변타운,2000,,,,"25,700",28,5,2015,,,59.85,1,490,N,,11440,,망원동
,상암월드컵파크7단지,2005,,,,"62,000",11,5,2015,,,84.9,4,1660,N,,11440,,상암동
,삼성,1997,,,,"59,000",20,6,2015,,,84.985,5,550,N,,11440,,도화동
,우림루미아트,2003,,,,"46,000",10,6,2015,,,84.9463,2,498,N,,11440,,망원동
,울트라월드컵(참누리),2006,,,,"55,200",18,6,2015,,,84.9572,17,398,N,,11440,,중동
,삼성,1997,,,,"78,500",12,6,2015,,,136.65,13,550,N,,11440,,도화동
,신수동성원,1998,,,,"58,000",29,6,2015,,,114.78,18,190,N,,11440,,신수동
,상암마젤란21,2005,,,,"36,500",15,6,2015,,,55.85,9,513,N,,11440,,망원동
,삼성,1997,,,,"69,500",26,6,2015,,,114.74,16,550,N,,11440,,도화동
,영화블렌하임,2009,,,,"50,300",5,6,2015,,,103.86,4,517,N,,11440,,망원동
,서희스타힐스,2014,,,,"19,450",30,6,2015,,,12.85,18,12-41,N,,11440,,대흥동
,기정MAY(247-28),2004,,,,"45,500",15,6,2015,,,118.95,3,247-28,N,,11440,,서교동
,서강GS,1999,,,,"45,800",10,7,2015,,,84.97,1,30,N,,11440,,신정동
,대우월드마크마포,2011,,,,"136,652",14,7,2015,,,138.37,19,173,N,,11440,,신공덕동
,현대홈타운,2000,,,,"48,700",18,7,2015,,,84.95,4,353,N,,11440,,도화동
,상암월드컵파크7단지,2005,,,,"63,000",13,7,2015,,,84.9,12,1660,N,,11440,,상암동
,도화동현대,1996,,,,"46,800",25,7,2015,,,79.83,7,357,N,,11440,,도화동
,마포래미안푸르지오4단지,2014,,,,"78,500",15,7,2015,,,84.5978,14,777,N,,11440,,아현동
,강변힐스테이트,2004,,,,"59,000",25,7,2015,,,114.99,1,222,N,,11440,,현석동
,공덕2삼성래미안,2004,,,,"59,500",7,7,2015,,,114.87,1,43,N,,11440,,공덕동
,성산2차e-편한세상,2005,,,,"50,500",8,7,2015,,,84.95,8,604,N,,11440,,성산동
,공덕1삼성래미안,1999,,,,"45,000",25,7,2015,,,59.74,12,371,N,,11440,,공덕동
,마포래미안푸르지오3단지,2014,,,,"60,000",13,8,2015,,,59.9236,17,777,N,,11440,,아현동
,마포래미안푸르지오4단지,2014,,,,"71,500",25,8,2015,,,59.9656,9,777,N,,11440,,아현동
,신공덕1차삼성래미안1아파트,2000,,,,"60,000",6,8,2015,,,114.75,2,155,N,,11440,,신공덕동
,서강GS,1999,,,,"49,800",18,8,2015,,,84.97,3,30,N,,11440,,신정동
,대원칸타빌,2004,,,,"57,000",21,8,2015,,,117.183,1,453,N,,11440,,신수동
,마포중동현대,2001,,,,"52,500",26,8,2015,,,114.93,22,392,N,,11440,,중동
,공덕2삼성래미안,2004,,,,"51,900",29,8,2015,,,59.97,12,43,N,,11440,,공덕동
,동원월드타운,2004,,,,"37,500",14,8,2015,,,84.869,4,395,N,,11440,,중동
,서서울삼성,1998,,,,"29,500",28,8,2015,,,48.92,3,692,N,,11440,,아현동
,한강삼성,1997,,,,"58,000",17,8,2015,,,84.96,15,138,N,,11440,,토정동
,현대홈타운,2000,,,,"45,000",16,9,2015,,,84.95,2,353,N,,11440,,도화동
,해모로,2007,,,,"52,500",18,9,2015,,,59.713,9,443,N,,11440,,창전동
,대명,1995,,,,"37,800",22,9,2015,,,59.99,12,259-1,N,,11440,,연남동
,마포용강삼성래미안,2003,,,,"65,500",21,9,2015,,,84.2,10,380,N,,11440,,용강동
,래미안마포리버웰,2015,,,,"81,500",30,9,2015,,,84.98,6,502,N,,11440,,용강동
,한강2차대주피오레,2003,,,,"53,000",30,9,2015,,,84.97,11,499,N,,11440,,망원동
,성산시영(대우),1986,,,,"37,500",25,9,2015,,,50.03,11,446,N,,11440,,성산동
,영화블렌하임,2009,,,,"67,800",30,9,2015,,,137.97,10,517,N,,11440,,망원동
,도화동현대,1996,,,,"55,000",19,9,2015,,,128.26,3,357,N,,11440,,도화동
,도화동현대,1996,,,,"54,500",23,9,2015,,,128.26,1,357,N,,11440,,도화동
,메세나폴리스,2012,,,,"151,239",27,10,2015,,,142.034,32,490,N,,11440,,서교동
,메세나폴리스,2012,,,,"136,187",26,10,2015,,,142.034,17,490,N,,11440,,서교동
,상인파크빌,2002,,,,"36,000",27,10,2015,,,91.38,2,271-23,N,,11440,,성산동
,마포래미안푸르지오3단지,2014,,,,"72,400",20,10,2015,,,84.5978,2,777,N,,11440,,아현동
,메세나폴리스,2012,,,,"146,021",22,10,2015,,,142.034,23,490,N,,11440,,서교동
,성산힐아파트,2011,,,,"34,000",12,10,2015,,,71.37,4,81-106,N,,11440,,성산동
,성산월드타운대림,2004,,,,"49,200",6,10,2015,,,84.689,24,601,N,,11440,,성산동
,마포중동현대,2001,,,,"46,800",17,10,2015,,,84.9,16,392,N,,11440,,중동
,마포래미안푸르지오4단지,2014,,,,"84,500",25,10,2015,,,84.3884,17,777,N,,11440,,아현동
,삼우월드,2004,,,,"44,000",12,10,2015,,,92.6,6,384-7,N,,11440,,망원동
,마포트라팰리스2차,2008,,,,"65,000",6,11,2015,,,104.89,13,738,N,,11440,,아현동
,서강오벨리스크스위트,2007,,,,"58,500",21,11,2015,,,98.82,9,442,N,,11440,,창전동
,공덕1삼성래미안,1999,,,,"60,000",7,11,2015,,,84.94,15,371,N,,11440,,공덕동
,경남아너스빌,2005,,,,"49,300",16,11,2015,,,84.97,7,455,N,,11440,,신수동
,래미안밤섬리베뉴Ⅰ,2014,,,,"100,000",30,11,2015,,,125.31,2,402,N,,11440,,상수동
,월드컵아이파크(667),2009,,,,"51,700",19,11,2015,,,84.7,12,667,N,,11440,,성산동
,현대홈타운,2000,,,,"54,500",19,11,2015,,,113.25,8,353,N,,11440,,도화동
,영화블렌하임,2009,,,,"59,000",30,11,2015,,,103.86,10,517,N,,11440,,망원동
,서강예가,2007,,,,"65,800",30,11,2015,,,84.988,11,444,N,,11440,,창전동
,대원,1999,,,,"28,000",29,11,2015,,,59.69,6,596,N,,11440,,성산동
,한강밤섬자이,2010,,,,"146,000",4,12,2015,,,138.08,23,101,N,,11440,,하중동
,상암월드컵파크2단지,2003,,,,"50,000",1,12,2015,,,59.92,15,1637,N,,11440,,상암동
,공덕2삼성래미안,2004,,,,"49,000",10,12,2015,,,59.97,20,43,N,,11440,,공덕동
,엘지(214-15),2003,,,,"21,000",19,12,2015,,,46.79,5,214-15,N,,11440,,성산동
,마포래미안푸르지오2단지,2014,,,,"90,000",31,12,2015,,,114.2802,2,777,N,,11440,,아현동
,현대하이츠아파트,2007,,,,"42,000",31,12,2015,,,84.7,3,254-8,N,,11440,,성산동
,상암월드컵파크5단지,2005,,,,"70,000",30,12,2015,,,84.67,7,1658,N,,11440,,상암동
,래미안공덕4차,2005,,,,"54,450",30,12,2015,,,59.9,11,464,N,,11440,,공덕동
,도화동현대,1996,,,,"50,500",28,12,2015,,,79.83,9,357,N,,11440,,도화동
,함성드림빌,2004,,,,"37,500",28,12,2015,,,69.13,5,505,N,,11440,,망원동
,메세나폴리스,2012,,,,"140,607",19,1,2016,,,142.034,15,490,N,,11440,,서교동
,미원1,1996,,,,"30,600",21,1,2016,,,58.98,10,478-27,N,,11440,,망원동
,염리삼성래미안,2001,,,,"45,300",23,1,2016,,,59.52,13,520,N,,11440,,염리동
,상수두산위브,2004,,,,"60,000",11,1,2016,,,84.79,8,396,N,,11440,,상수동
,공덕3삼성래미안,2004,,,,"59,300",15,1,2016,,,59.97,8,457,N,,11440,,공덕동
,한강그린2차,2012,,,,"35,900",22,1,2016,,,59.41,4,450-11,N,,11440,,합정동
,코오롱,2003,,,,"63,700",24,1,2016,,,114.88,6,573,N,,11440,,연남동
,한화오벨리스크,2004,,,,"39,400",26,1,2016,,,49.87,9,555,N,,11440,,도화동
,성산시영(유원),1986,,,,"45,900",22,1,2016,,,59.43,7,446,N,,11440,,성산동
