aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,독립문극동(200-0),1998,,,,"39,700",19,1,2015,,,59.58,22,200,N,,11410,,현저동
,독립문극동(200-0),1998,,,,"63,500",30,1,2015,,,114.51,5,200,N,,11410,,현저동
,두산,1999,,,,"32,000",29,1,2015,,,59.96,3,1009,N,,11410,,북아현동
,서울맨션,1972,,,,"12,700",24,1,2015,,,45.32,2,315-7,N,,11410,,홍제동
,신일해피트리,2005,,,,"35,000",31,1,2015,,,84.98,3,455,N,,11410,,북가좌동
,홍제현대,1992,,,,"40,800",30,1,2015,,,83.05,5,331,N,,11410,,홍제동
,두산,1997,,,,"30,500",29,1,2015,,,84.84,7,456,N,,11410,,홍은동
,남양,1999,,,,"34,500",28,1,2015,,,83.07,6,457,N,,11410,,홍제동
,문화촌현대,2002,,,,"27,300",19,1,2015,,,59.94,15,463,N,,11410,,홍제동
,동부센트레빌,2002,,,,"49,000",15,1,2015,,,114.92,15,260,N,,11410,,냉천동
,대우푸르지오,2002,,,,"38,000",14,2,2015,,,59.584,14,739,N,,11410,,연희동
,천연뜨란채,2006,,,,"33,000",23,2,2015,,,55.85,9,145,N,,11410,,천연동
,남가좌동현대,1999,,,,"39,900",8,2,2015,,,84.78,11,376,N,,11410,,남가좌동
,돈의문센트레빌,2011,,,,"43,500",26,2,2015,,,59.98,11,261,N,,11410,,냉천동
,독립문삼호,1995,,,,"41,500",23,2,2015,,,84.78,2,100,N,,11410,,영천동
,돈의문센트레빌,2011,,,,"55,000",28,2,2015,,,84.99,1,261,N,,11410,,냉천동
,돈의문센트레빌,2011,,,,"44,200",26,2,2015,,,59.98,9,261,N,,11410,,냉천동
,피어리스,1987,,,,"34,700",14,2,2015,,,84.24,13,222,N,,11410,,충정로3가
,에스케이뷰,2008,,,,"50,700",24,2,2015,,,84.98,4,118,N,,11410,,합동
,청구2차,1997,,,,"38,900",17,2,2015,,,84.89,5,453-1,N,,11410,,홍제동
,DMC센트레빌,2009,,,,"58,500",5,3,2015,,,114.85,6,381,N,,11410,,남가좌동
,DMC아이파크,2009,,,,"49,000",10,3,2015,,,84.93,13,458,N,,11410,,북가좌동
,독립문극동(200-0),1998,,,,"40,000",31,3,2015,,,59.58,20,200,N,,11410,,현저동
,세한숲속마을,2002,,,,"31,000",29,3,2015,,,83.9,12,산11-244,N,,11410,,홍은동
,세한숲속마을,2002,,,,"29,000",20,3,2015,,,83.9,5,산11-244,N,,11410,,홍은동
,홍제원현대(459-0),2000,,,,"29,500",29,3,2015,,,59.93,1,459,N,,11410,,홍제동
,독립문극동(200-0),1998,,,,"59,900",30,3,2015,,,102.45,11,200,N,,11410,,현저동
,홍은동아더프라임,2014,,,,"38,850",31,3,2015,,,74.8918,3,439-1,N,,11410,,홍은동
,홍제현대,1992,,,,"39,500",28,3,2015,,,83.05,3,331,N,,11410,,홍제동
,독립문삼호,1995,,,,"52,200",14,3,2015,,,108.63,17,100,N,,11410,,영천동
,문화촌현대,2002,,,,"37,500",27,4,2015,,,84.99,9,463,N,,11410,,홍제동
,북가좌삼호,1996,,,,"43,500",27,4,2015,,,114.03,8,449,N,,11410,,북가좌동
,대우푸르지오,2002,,,,"49,500",9,4,2015,,,84.706,18,739,N,,11410,,연희동
,독립문삼호,1995,,,,"43,000",15,4,2015,,,84.78,5,100,N,,11410,,영천동
,DMC아이파크,2009,,,,"56,100",27,4,2015,,,114.92,15,458,N,,11410,,북가좌동
,북아현맨션,1975,,,,"39,500",27,4,2015,,,84.95,1,114-1,N,,11410,,북아현동
,DMC래미안e편한세상,2012,,,,"55,000",25,4,2015,,,84.93,12,481,N,,11410,,북가좌동
,성원,2001,,,,"64,900",30,4,2015,,,115.06,12,740,N,,11410,,연희동
,동원베네스트,2012,,,,"47,700",23,4,2015,,,105.8959,12,463,N,,11410,,홍은동
,DMC두산위브,2007,,,,"39,500",27,4,2015,,,84.9623,14,459,N,,11410,,북가좌동
,홍제현대,1992,,,,"33,000",23,5,2015,,,75.15,1,331,N,,11410,,홍제동
,비버리힐,2005,,,,"44,700",25,5,2015,,,117.27,1,1-422,N,,11410,,북아현동
,독립문삼호,1995,,,,"44,700",24,5,2015,,,84.78,14,100,N,,11410,,영천동
,동원베네스트,2012,,,,"36,500",28,5,2015,,,84.9573,2,463,N,,11410,,홍은동
,홍은동벽산,1997,,,,"36,700",22,5,2015,,,84.78,13,455,N,,11410,,홍은동
,우민B,2001,,,,"37,800",30,5,2015,,,84.87,6,1-49,N,,11410,,북아현동
,인왕산현대,2000,,,,"45,800",15,5,2015,,,84.9,16,460,N,,11410,,홍제동
,DMC센트레빌,2009,,,,"53,000",17,5,2015,,,114.85,3,381,N,,11410,,남가좌동
,천연뜨란채,2006,,,,"36,700",26,5,2015,,,56.08,4,145,N,,11410,,천연동
,신일해피트리,2005,,,,"37,200",28,5,2015,,,84.98,9,455,N,,11410,,북가좌동
,청구1차,1994,,,,"40,500",20,6,2015,,,84.78,11,453,N,,11410,,홍제동
,DMC래미안e편한세상,2012,,,,"57,400",13,6,2015,,,84.92,29,481,N,,11410,,북가좌동
,독립문극동(200-0),1998,,,,"50,000",27,6,2015,,,84.87,6,200,N,,11410,,현저동
,문영센스빌,2002,,,,"34,000",11,6,2015,,,79.5,4,1-46,N,,11410,,북아현동
,DMC래미안e편한세상,2012,,,,"71,700",20,6,2015,,,120.95,2,481,N,,11410,,북가좌동
,DMC래미안e편한세상,2012,,,,"68,000",28,6,2015,,,120.91,11,481,N,,11410,,북가좌동
,DMC래미안e편한세상,2012,,,,"56,500",8,6,2015,,,84.95,5,481,N,,11410,,북가좌동
,천연뜨란채,2006,,,,"50,000",14,6,2015,,,84.95,16,145,N,,11410,,천연동
,피어리스,1987,,,,"35,000",29,6,2015,,,84.24,17,222,N,,11410,,충정로3가
,동원베네스트,2012,,,,"39,500",16,6,2015,,,84.9573,11,463,N,,11410,,홍은동
,DMC래미안e편한세상,2012,,,,"60,000",16,7,2015,,,84.95,17,481,N,,11410,,북가좌동
,현대그린,1996,,,,"31,500",13,7,2015,,,84.96,8,455,N,,11410,,홍제동
,돈의문센트레빌,2011,,,,"57,800",10,7,2015,,,84.99,2,261,N,,11410,,냉천동
,북아현3차,2002,,,,"47,000",9,7,2015,,,116.07,3,189-22,N,,11410,,북아현동
,청구3차,2001,,,,"40,500",4,7,2015,,,84.96,8,462,N,,11410,,홍제동
,우민A,2001,,,,"37,300",16,7,2015,,,84.9,1,1-50,N,,11410,,북아현동
,천연뜨란채,2006,,,,"37,500",31,7,2015,,,57.78,2,145,N,,11410,,천연동
,창덕에버빌,1998,,,,"31,800",29,7,2015,,,80.33,8,105-1,N,,11410,,남가좌동
,DMC래미안e편한세상,2012,,,,"55,700",29,7,2015,,,84.92,7,481,N,,11410,,북가좌동
,우민,2004,,,,"35,500",24,7,2015,,,92.94,3,187-122,N,,11410,,연희동
,독립문삼호,1995,,,,"51,000",31,8,2015,,,84.78,14,100,N,,11410,,영천동
,성원,2001,,,,"63,500",31,8,2015,,,115.06,13,740,N,,11410,,연희동
,충림예하임,2010,,,,"40,250",29,8,2015,,,84.6,3,477,N,,11410,,충정로3가
,혜우,1996,,,,"44,800",28,8,2015,,,129.27,12,101-7,N,,11410,,대현동
,천연뜨란채,2006,,,,"35,500",31,8,2015,,,55.82,9,145,N,,11410,,천연동
,충우하이빌,2003,,,,"29,000",31,8,2015,,,105.44,5,51-151,N,,11410,,연희동
,홍은센트레빌,2009,,,,"37,000",28,8,2015,,,59.96,9,461,N,,11410,,홍은동
,천연뜨란채,2006,,,,"38,700",29,8,2015,,,56.08,11,145,N,,11410,,천연동
,동부센트레빌,2002,,,,"52,500",28,8,2015,,,114.92,8,260,N,,11410,,냉천동
,돈의문센트레빌,2011,,,,"60,000",25,8,2015,,,84.99,6,261,N,,11410,,냉천동
,홍제원현대(459-0),2000,,,,"44,500",4,9,2015,,,84.9,15,459,N,,11410,,홍제동
,현대그린,1996,,,,"32,500",16,9,2015,,,84.96,6,455,N,,11410,,홍제동
,홍은동벽산,1997,,,,"37,000",8,9,2015,,,84.78,8,455,N,,11410,,홍은동
,DMC서부인터빌,2008,,,,"31,900",25,9,2015,,,59.93,9,467,N,,11410,,북가좌동
,북가좌삼호,1996,,,,"45,000",15,9,2015,,,114.03,16,449,N,,11410,,북가좌동
,DMC래미안클라시스,2000,,,,"40,900",21,9,2015,,,84.9,12,377,N,,11410,,남가좌동
,DMC서부인터빌,2008,,,,"40,000",21,9,2015,,,84.66,14,467,N,,11410,,북가좌동
,홍제현대,1992,,,,"39,000",22,9,2015,,,75.15,6,331,N,,11410,,홍제동
,홍은동벽산,1997,,,,"45,000",10,9,2015,,,114.96,7,455,N,,11410,,홍은동
,독립문극동(200-0),1998,,,,"53,800",24,9,2015,,,84.87,13,200,N,,11410,,현저동
,독립문극동(200-0),1998,,,,"51,200",17,10,2015,,,84.87,7,200,N,,11410,,현저동
,독립문삼호,1995,,,,"46,000",26,10,2015,,,84.78,14,100,N,,11410,,영천동
,홍제원현대(459-0),2000,,,,"57,800",26,10,2015,,,114.72,10,459,N,,11410,,홍제동
,DMC래미안e편한세상,2012,,,,"49,300",12,10,2015,,,59.97,13,481,N,,11410,,북가좌동
,DMC래미안e편한세상,2012,,,,"58,800",11,10,2015,,,84.92,35,481,N,,11410,,북가좌동
,독립문극동(200-0),1998,,,,"52,000",24,10,2015,,,84.87,7,200,N,,11410,,현저동
,광산,1973,,,,"16,800",18,10,2015,,,70.64,6,157-68,N,,11410,,홍제동
,동부센트레빌,2002,,,,"42,300",30,10,2015,,,84.93,1,260,N,,11410,,냉천동
,월드컵현대,1998,,,,"40,800",31,10,2015,,,84.93,16,371-1,N,,11410,,북가좌동
,신원지벤스타3,2005,,,,"48,000",29,10,2015,,,141.08,2,392-11,N,,11410,,홍은동
,홍제한양,1993,,,,"53,000",17,11,2015,,,120.14,10,82,N,,11410,,홍제동
,성원,2001,,,,"48,000",15,11,2015,,,84.95,10,740,N,,11410,,연희동
,독립문삼호,1995,,,,"48,000",18,11,2015,,,84.78,14,100,N,,11410,,영천동
,인왕산현대,2000,,,,"46,800",19,11,2015,,,84.9,12,460,N,,11410,,홍제동
,동부센트레빌,2002,,,,"36,700",29,11,2015,,,59.86,9,260,N,,11410,,냉천동
